filename,language,character_count
211001265_ref1.txt,en,3805
211001266_ref1.txt,en,5543
211001268_ref1.txt,en,17161
211001271_ref1.txt,en,1547
211001272_ref1.txt,en,3550
211001274_ref1.txt,en,1891
211001276_ref1.txt,en,15968
211001277_ref1.txt,en,1573
211001278_ref1.txt,en,1573
211001279_ref1.txt,en,1573
211001280_ref1.txt,en,100015
211001282_ref1.txt,en,2145
211001282_ref3.txt,es,10956
211001283_ref1.txt,es,250014
211001284_ref2.txt,es,2767
211001287_ref1.txt,en,60070
211001288_ref1.txt,en,8429
211001289_ref1.txt,en,107285
211001291_ref1.txt,en,2755
211001292_ref1.txt,en,1305
211001294_ref1.txt,en,93468
211001295_ref1.txt,en,68323
211001296_ref1.txt,en,12163
211001299_ref1.txt,en,1305
211001300_ref1.txt,en,39986
211001302_ref1.txt,en,2230
211001304_ref1.txt,en,2893
211001305_ref1.txt,de,19391
211001306_ref1.txt,en,121637
211001307_ref1.txt,en,2639
211001308_ref1.txt,en,670
211001309_ref1.txt,en,794
211001310_ref1.txt,en,8882
211001311_ref1.txt,en,259
211001312_ref1.txt,en,5057
211001313_ref1.txt,en,35150
211001315_ref1.txt,en,35150
211001316_ref1.txt,en,201
211001318_ref1.txt,en,3680
211001321_ref1.txt,en,4545
211001322_ref1.txt,en,2171
211001325_ref1.txt,en,70286
211001326_ref1.txt,en,3618
211001327_ref1.txt,en,3667
211001328_ref1.txt,ca,75
211001329_ref1.txt,en,2162
211001331_ref1.txt,es,198125
211001333_ref1.txt,en,1551
211001335_ref1.txt,en,17665
211001336_ref1.txt,en,13658
211001338_ref1.txt,en,579
211001339_ref1.txt,en,3464
211001340_ref1.txt,en,37130
211001341_ref1.txt,en,45686
211001342_ref1.txt,en,2187
211001344_ref1.txt,en,1300
211001347_ref1.txt,en,7086
211001350_ref1.txt,en,5044
211001352_ref1.txt,en,5262
211001355_ref1.txt,en,59176
211001358_ref1.txt,en,1797
211001359_ref1.txt,en,6101
211001360_ref1.txt,en,2013
211001362_ref1.txt,en,5159
211001366_ref1.txt,en,1590
211001367_ref1.txt,en,73219
211001368_ref1.txt,en,9627
211001371_ref1.txt,en,6377
211001372_ref1.txt,en,2518
211001373_ref1.txt,en,3196
211001374_ref1.txt,en,3972
211001375_ref1.txt,en,4888
211001376_ref1.txt,en,3651
211001377_ref1.txt,en,129105
211001378_ref1.txt,en,2511
211001379_ref1.txt,en,5665
211001380_ref1.txt,en,2235
211001380_ref2.txt,en,676759
211001381_ref1.txt,en,143
211001383_ref1.txt,en,1305
211001384_ref1.txt,ru,3404
211001385_ref1.txt,en,4739726
211001386_ref1.txt,en,46590
211001388_ref1.txt,en,4719
211001389_ref1.txt,en,2831
211001390_ref1.txt,en,711
211001391_ref1.txt,en,9049
211001393_ref1.txt,en,20249
211001394_ref1.txt,en,1999
211001395_ref1.txt,en,3296
211001396_ref1.txt,en,2145
211001397_ref1.txt,en,2145
211001398_ref1.txt,en,2145
211001399_ref1.txt,en,4128
211001400_ref1.txt,en,107303
211001400_ref2.txt,en,358
211001401_ref1.txt,en,1960
211001403_ref1.txt,pt,6463
211001404_ref1.txt,pt,6463
211001405_ref1.txt,en,1970
211001406_ref1.txt,en,510479
211001413_ref1.txt,en,4045
211001415_ref1.txt,en,6246
211001418_ref1.txt,en,4125
211001420_ref1.txt,en,2295
