policy_id,ref_num,url,error,file_type,expected_filename
211000131,1,https://www.iea.org/policies/1696-advanced-manufacturing-office-industrial-distributed-energy?page=3&region=North%20America&type=Obligation%20schemes%2CStrategic%20planning%2CDemonstration%2CGrants%2Fsubsidy%2CCirculation%20tax,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1696-advanced-manufacturing-office-industrial-distributed-energy?page=3&region=North%20America&type=Obligation%20schemes%2CStrategic%20planning%2CDemonstration%2CGrants%2Fsubsidy%2CCirculation%20tax,,211000131_ref1
211000132,1,https://www.iea.org/policies/2713-advanced-propulsion-centre?country=United%20Kingdom&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2713-advanced-propulsion-centre?country=United%20Kingdom&qs=united,,211000132_ref1
211000133,1,https://fas.org/sgp/crs/misc/R42064.pdf,404 Client Error: Not Found for url: https://fas.org/sgp/crs/misc/R42064.pdf,,211000133_ref1
211000136,1,https://www.iea.org/policies/2206-affordable-warmth-scheme?country=United%20Kingdom&page=4&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2206-affordable-warmth-scheme?country=United%20Kingdom&page=4&qs=united,,211000136_ref1
211000140,1,https://www.iea.org/policies/80-agreement-with-industry-on-co2-emissions-cuts?country=Germany&page=6,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/80-agreement-with-industry-on-co2-emissions-cuts?country=Germany&page=6,,211000140_ref1
211000141,2,http://repiica.iica.int/docs/B3218E/B3218E.PDF,"HTTPConnectionPool(host='repiica.iica.int', port=80): Max retries exceeded with url: /docs/B3218E/B3218E.PDF (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFAA0250>: Failed to resolve 'repiica.iica.int' ([Errno 11001] getaddrinfo failed)""))",,211000141_ref2
211000144,1,https://www.iea.org/policies/7460-agricultural-demand-side-management-agdsm-programme?country=India&page=5&qs=indi,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7460-agricultural-demand-side-management-agdsm-programme?country=India&page=5&qs=indi,,211000144_ref1
211000147,1,https://www.iea.org/policies/7972-agriculture-within-the-scope-of-rural-development-supportscommunique-on-investments-communique-no-201722?country=Turkey&page=1&qs=turkey,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7972-agriculture-within-the-scope-of-rural-development-supportscommunique-on-investments-communique-no-201722?country=Turkey&page=1&qs=turkey,,211000147_ref1
211000150,1,http://www.iea-coal.org.uk/documents/82549/9446/Japan,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82549/9446/Japan,,211000150_ref1
211000151,1,http://legislative.gov.in/sites/default/files/A1981-14.pdf,403 Client Error: Forbidden for url: https://www.legislative.gov.in/sites/default/files/A1981-14.pdf,,211000151_ref1
211000157,1,https://www.iea.org/policies/6215-rajasthan-policy-for-promoting-generation-through-non-conventional-energy-sources?country=India&page=6&qs=indi,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6215-rajasthan-policy-for-promoting-generation-through-non-conventional-energy-sources?country=India&page=6&qs=indi,,211000157_ref1
211000160,1,http://www.climatechangecentral.com/,403 Client Error: Forbidden for url: http://www.climatechangecentral.com/,,211000160_ref1
211000165,1,https://inis.iaea.org/search/search.aspx?orig_q=RN:30041882,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",,211000165_ref1
211000170,1,https://www.iea.org/policies/2696-alternative-fuel-vehicle-community-partner-projects?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2696-alternative-fuel-vehicle-community-partner-projects?country=United%20States&qs=united,,211000170_ref1
211000171,1,http://www.dm.usda.gov/pmd/alt_fuel.htm,"HTTPSConnectionPool(host='www.usda.gov', port=443): Read timed out. (read timeout=30)",,211000171_ref1
211000172,1,https://www.oilandgastoday.com.au/the-australian-natural-gas-vehicle-industry/,"HTTPConnectionPool(host='ww84.oilandgastoday.com.au', port=80): Max retries exceeded with url: /the-australian-natural-gas-vehicle-industry/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFE93450>: Failed to resolve 'ww84.oilandgastoday.com.au' ([Errno 11001] getaddrinfo failed)""))",,211000172_ref1
211000173,1,https://web.archive.org/web/20121030153548/,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20121030153548/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000232EFE78C50>, 'Connection to web.archive.org timed out. (connect timeout=30)'))",,211000173_ref1
211000174,1,http://www.nhtsa.gov/fuel-economy,403 Client Error: Forbidden for url: http://www.nhtsa.gov/fuel-economy,,211000174_ref1
211000177,1,https://www.dena.de/en/topics/energy-efficiency/mobility/fuels-technologies/,404 Client Error: Not Found for url: https://www.dena.de/en/topics/energy-efficiency/mobility/fuels-technologies/,,211000177_ref1
211000182,1,https://www.unep.org/resources/policy-and-strategy/air-quality-policies-saudi-arabia,403 Client Error: Forbidden for url: https://www.unep.org/resources/policy-and-strategy/air-quality-policies-saudi-arabia,,211000182_ref1
211000184,1,https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-10/6961,404 Client Error: Not Found for url: https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-10/6961,,211000184_ref1
211000185,1,https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-11/6967,404 Client Error: Not Found for url: https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-11/6967,,211000185_ref1
211000187,1,https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-12b/12342,404 Client Error: Not Found for url: https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-12b/12342,,211000187_ref1
