policy_id,ref_num,url,error,file_type,expected_filename,saved
211000083,1,http://www.meti.go.jp,"HTTPConnectionPool(host='www.meti.go.jp', port=80): Read timed out. (read timeout=30)",,211000083_ref1,False
211000084,1,http://www.mfa.gov.tr/united-nations-framework-convention-on-climate-change-_unfccc_-and-the-kyoto-protocol.en.mfa,,html,211000084_ref1,True
211000085,1,"https://www.epa.gov/acidrain/acid-rain-program#:~:text=The%20Acid%20Rain%20Program%20called%20for%20a%20two,boilers%20that%20have%20installed%20low-NO%20x%20burner%20technologies.",,html,211000085_ref1,True
211000086,1,https://www.iea.org/policies/4450-law-on-utilization-of-renewable-energy-resources-for-the-purpose-of-generating-electrical-energy-no-5346,,html,211000086_ref1,True
211000087,1,http://www.lse.ac.uk/GranthamInstitute/law/act-no-5403-on-soil-conservation-and-land-use/,,html,211000087_ref1,True
211000088,1,http://www.mevzuat.gov.tr/MevzuatMetin/1.5.5627.pdf,,pdf,211000088_ref1,True
211000089,1,https://climate-laws.org/document/act-no-5686-on-geothermal-resources-and-mineral-waters_9ddc,,html,211000089_ref1,True
211000090,1,https://climate-laws.org/document/act-partially-amending-the-law-on-special-tax-measures-tax-reform-act-2012-law-no-16-of-2012_d4a5,,html,211000090_ref1,True
211000091,1,https://www.iea.org/policies/272-act-on-co2-advice-line,,html,211000091_ref1,True
211000092,1,https://www.japaneselawtranslation.go.jp/en/laws/view/3509/en,,html,211000092_ref1,True
211000093,1,http://www.cas.go.jp/jp/seisaku/hourei/data/APGWC.pdf,,pdf,211000093_ref1,True
211000095,1,https://www.japaneselawtranslation.go.jp/en/laws/view/2573/en,,html,211000095_ref1,True
211000096,1,https://www.env.go.jp/earth//furon/files/englishmaterial_202303.pdf,,pdf,211000096_ref1,True
211000097,1,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,,211000097_ref1,True
211000098,1,https://leap.unep.org/en/countries/kr/national-legislation/act-allocation-and-trading-greenhouse-gas-emissions-rights,,html,211000098_ref1,True
211000099,1,https://climate-laws.org/document/act-on-the-creation-and-facilitation-of-use-of-smart-grids_3f12,,html,211000099_ref1,True
